[2025-01-30T05:40:18.388+0000] {processor.py:186} INFO - Started process (PID=10967) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-01-30T05:40:18.390+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-01-30T05:40:18.394+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:18.393+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-01-30T05:40:19.050+0000] {processor.py:925} INFO - DAG(s) 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1', 'dataset_consumes_unknown_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_2', 'dataset_produces_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-01-30T05:40:19.128+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.128+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-01-30T05:40:19.174+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.173+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-01-29 01:00:00+00:00, run_after=2025-01-29 01:00:00+00:00
[2025-01-30T05:40:19.180+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.180+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-01-30T05:40:19.183+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.183+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-01-30T05:40:19.187+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.186+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-01-30T05:40:19.190+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.189+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-01-30T05:40:19.193+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.192+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-01-30T05:40:19.196+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.195+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-01-30T05:40:19.198+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.198+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-01-30T05:40:19.203+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.203+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-01-29 00:00:00+00:00, run_after=2025-01-30 00:00:00+00:00
[2025-01-30T05:40:19.206+0000] {logging_mixin.py:190} INFO - [2025-01-30T05:40:19.206+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-01-30T05:40:19.267+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.888 seconds
